"","follow","birthyr","turnout12","vote12","meet","march","compromise","ftobama","ftblack","ftwhite","fthisp","ftgay","fttrump","fthrc","ftsanders","ftpolice","ftfem","ftmuslim","ftsci","econnow","lcself","disc_b","disc_h","disc_g","disc_w","disc_m","disc_fed","disc_police","immig_numb","terror_worry","healthspend","finwell","warmcause","freetrade","stopblack","stop_ever","birthright_b","bo_muslim","amer_ident","marstat","employ","educ","gender","race","pid3","pid7","ideo5","pew_churatd","faminc","weight","dpolice.new"
"23","Most of the time",1954,"Definitely voted","Barack Obama","Moderately likely","Have not done this in past 4 years","Compromies to get things done",75,61,51,51,70,1,65,85,41,60,50,91,"2","Somewhat liberal","A lot","A moderate amount","A moderate amount","None at all","A little","Treats blacks a little better","Treats whites much better","Increased a moderate amount","Slightly worried","Incrase moderately","A little worse","About equally by human activity and natural causes","Oppose a little","Very often","Has happened","Not asked","Not a Muslim","Moderately important","Single","Part-time","Some college","Male","White","Indepent","Lean Democrat","Very liberal","Seldom",97,0.394840502,"Treats whites much better"
"24","Most of the time",1945,"Definitely voted","Barack Obama","Not at all likely","Have not done this in past 4 years","Compromies to get things done",91,84,87,91,82,8,68,89,52,98,79,82,"3","Somewhat liberal","A moderate amount","A moderate amount","A moderate amount","A little","A little","Treats both the same","Treats whites moderately better","Kept the same","Not at all worried","Increase a great deal","The same as 20 years ago","Mostly by human activity","Favor moderately","Somewhat often","Never happened","Favor moderately","Not a Muslim","Moderately important","Married","Retired","Some college","Female","White","Democrat","Strong Democrat","Liberal","Never",4,1.520709014,"Treats whites moderately better"
"25","Most of the time",1978,"Definitely voted","Barack Obama","Very Likely","Have not done this in past 4 years","Compromies to get things done",66,39,58,53,48,2,53,69,54,49,46,86,"3","Very liberal","A moderate amount","A moderate amount","A moderate amount","A little","A little","Treats whites a little better","Treats whites moderately better","Increased a little","Slightly worried","Increase a little","The same as 20 years ago","About equally by human activity and natural causes","Favor a little","Sometimes","Not asked","Favor a little","Not a Muslim","Very important","Married","Full-time","4-year","Male","White","Democrat","Strong Democrat","Very liberal","Once a week",10,0.335127267,"Treats whites moderately better"
"26","Most of the time",1981,"Definitely voted","Mitt Romney","A little likely","Have not done this in past 4 years","Compromies to get things done",39,79,80,86,61,33,50,38,85,55,63,73,"4","Neither liberal nor conservative","A little","A little","A moderate amount","None at all","A little","Treats blacks a little better","Treats whites moderately better","Increased a lot","Moderately worried","Increase a little","Moderately worse","Mostly by human activity","Favor a great deal","Sometimes","Not asked","Not asked","Not a Muslim","Very important","Married","Full-time","4-year","Male","White","Indepent","Weak Republican","Moderate","Once a week",6,1.403392015,"Treats whites moderately better"
"27","Most of the time",1949,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Compromies to get things done",1,50,50,51,51,72,0,0,88,29,51,87,"4","Closer to conservatives","A lot","A lot","A moderate amount","A little","A little","Treats whites a little better","Treats whites a little better","Kept the same","Not asked","No Change","A little better","About equally by human activity and natural causes","Favor moderately","Very often","Has happened","Not asked","Muslim","Extremely important","Married","Retired","High school graduate","Female","White","Republican","Strong Republican","Conservative","Never",97,1.038475753,"Treats whites a little better"
"28","Most of the time",1944,"Definitely voted","Barack Obama","Moderately likely","Have not done this in past 4 years","Compromies to get things done",70,56,88,90,51,1,41,100,57,94,77,84,"3","Somewhat liberal","A lot","A moderate amount","A lot","None at all","None at all","Treats whites moderately better","Treats whites much better","Increased a little","Not asked","Increase a great deal","Moderately better","About equally by human activity and natural causes","Oppose a little","Very often","Not asked","Neither favor or oppose","Not a Muslim","Extremely important","Married","Other","Some college","Female","White","Democrat","Independent","Liberal","Seldom",97,1.520709014,"Treats whites much better"
"29","Some of the Time",1955,"Definitely voted","Barack Obama","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",80,64,75,45,50,1,70,99,46,80,64,69,"2","Somewhat liberal","A lot","A moderate amount","A lot","None at all","None at all","Treats both the same","Treats whites moderately better","Decreased a little","Slightly worried","Increase a great deal","A great deal worse","Mostly by human activity","Oppose a little","Very often","Not asked","Neither favor or oppose","Not a Muslim","Moderately important","Married","Homemaker","Some college","Female","White","Democrat","Strong Democrat","Liberal","Never",3,0.611852704,"Treats whites moderately better"
"30","Most of the time",1951,"Definitely voted","Barack Obama","Extremely Likely","Have not done this in past 4 years","Compromies to get things done",100,58,56,55,50,16,85,83,89,71,53,82,"2","Somewhat liberal","A lot","A moderate amount","A moderate amount","None at all","A little","Treats both the same","Treats whites a little better","Increased a little","Slightly worried","Incrase moderately","Moderately worse","Mostly by human activity","Favor a little","Somewhat often","Never happened","Favor moderately","Not a Muslim","Very important","Married","Retired","4-year","Female","White","Democrat","Strong Democrat","Liberal","A few times a year",9,0.90730628,"Treats whites a little better"
"31","Most of the time",1994,"Definitely voted","Mitt Romney","Extremely Likely","Have not done this in past 4 years","Compromies to get things done",100,54,51,51,51,18,92,89,27,51,50,91,"1","Neither liberal nor conservative","A great deal","A great deal","A great deal","None at all","None at all","Treats whites much better","Treats whites much better","Increased a lot","Not asked","Increase a great deal","A great deal worse","Mostly by human activity","Favor a little","Very often","Not asked","Favor a great deal","Not a Muslim","Very important","Single","Homemaker","No HS","Female","White","Republican","Strong Republican","Very conservative","Seldom",1,0.466955742,"Treats whites much better"
"32","Most of the time",1950,"Definitely voted","Barack Obama","A little likely","Have done this in past 4 years","Compromies to get things done",63,88,62,77,70,1,21,98,31,93,72,91,"4","Very liberal","A lot","A lot","A lot","A little","A little","Treats whites much better","Treats whites much better","Increased a moderate amount","Not at all worried","Increase a great deal","A great deal worse","Mostly by human activity","Opposed a great deal","Very often","Not asked","Favor a great deal","Not a Muslim","Moderately important","Divorced","Retired","Post-grad","Male","White","Democrat","Weak Democrat","Very liberal","A few times a year",3,0.346286541,"Treats whites much better"
"33","Only now and then",1953,"Probably did not vote","Not asked","A little likely","Have not done this in past 4 years","Sticks to his or her principles",3,51,99,20,50,51,1,1,100,3,6,20,"4","Somewhat conservative","A little","A little","A little","A great deal","A great deal","Treats Blacks much better","Treats both the same","Kept the same","Not asked","No Change","Moderately better","Mostly by natural causes","Neither favor nor oppose","Rarely","Not asked","Not asked","Muslim","Extremely important","Single","Unemployed","High school graduate","Male","White","Indepent","Lean Republican","Very conservative","Never",4,1.759907883,"Treats both the same"
"34","Most of the time",1971,"Definitely voted","Mitt Romney","Moderately likely","Have not done this in past 4 years","Sticks to his or her principles",1,50,53,52,32,31,0,4,84,3,6,50,"3","Very conservative","A little","A little","A little","A little","A little","Treats both the same","Treats both the same","Kept the same","Extremely worried","No Change","A little worse","Mostly by natural causes","Neither favor nor oppose","Sometimes","Never happened","Not asked","Not a Muslim","Very important","Divorced","Full-time","Post-grad","Female","White","Republican","Strong Republican","Very conservative","Never",8,0.905994847,"Treats both the same"
"35","Most of the time",1967,"Definitely voted","Barack Obama","Not at all likely","Have not done this in past 4 years","Compromies to get things done",69,60,63,71,68,2,77,62,70,69,58,81,"2","Neither liberal nor conservative","A moderate amount","A little","A moderate amount","None at all","None at all","Treats whites a little better","Treats whites moderately better","Increased a little","Not asked","Increase a little","The same as 20 years ago","Mostly by human activity","Favor moderately","Sometimes","Has happened","Not asked","Not a Muslim","A little important","Single","Full-time","Post-grad","Male","White","Democrat","Weak Democrat","Moderate","Seldom",97,1.084362728,"Treats whites moderately better"
"36","Most of the time",1945,"Definitely voted","Barack Obama","Extremely Likely","Have not done this in past 4 years","Compromies to get things done",82,70,85,66,57,1,93,96,78,82,59,94,"2","Somewhat liberal","A moderate amount","A moderate amount","A moderate amount","None at all","A little","Treats both the same","Treats whites much better","Increased a moderate amount","Moderately worried","Incrase moderately","The same as 20 years ago","Mostly by human activity","Neither favor nor oppose","Somewhat often","Has happened","Favor a great deal","Not a Muslim","Extremely important","Divorced","Retired","Post-grad","Male","White","Democrat","Strong Democrat","Very liberal","A few times a year",5,0.346286541,"Treats whites much better"
"37","Most of the time",1948,"Definitely voted","Barack Obama","Not at all likely","Have not done this in past 4 years","Compromies to get things done",76,81,69,67,81,2,100,1,62,51,80,82,"2","Very liberal","A moderate amount","A moderate amount","A lot","A moderate amount","A little","Treats whites a little better","Treats whites a little better","Decreased a little","Very worried","Increase a little","A little worse","Mostly by human activity","Opposed a great deal","Sometimes","Not asked","Not asked","Not a Muslim","Moderately important","Widowed","Homemaker","High school graduate","Female","White","Democrat","Strong Democrat","Very liberal","Never",2,0.247985977,"Treats whites a little better"
"38","Some of the Time",1976,"Probably did not vote","Not asked","Not at all likely","Have not done this in past 4 years","Compromies to get things done",80,80,81,74,80,20,52,71,31,70,11,91,"2","Neither liberal nor conservative","A moderate amount","A moderate amount","A moderate amount","A little","A little","Treats whites moderately better","Treats whites much better","Kept the same","Moderately worried","Increase a little","Moderately worse","About equally by human activity and natural causes","Favor a great deal","Somewhat often","Not asked","Neither favor or oppose","Not a Muslim","Very important","Single","Full-time","Some college","Male","White","Indepent","Independent","Moderate","Never",9,3.196165375,"Treats whites much better"
"39","Most of the time",1955,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Compromies to get things done",10,60,60,60,50,88,7,20,90,50,31,69,"3","Closer to conservatives","A moderate amount","A moderate amount","A moderate amount","A moderate amount","A moderate amount","Treats both the same","Treats both the same","Kept the same","Not asked","No Change","The same as 20 years ago","Mostly by natural causes","Oppose a little","Sometimes","Not asked","Not asked","Not a Muslim","Extremely important","Married","Full-time","2-year","Male","White","Indepent","Lean Republican","Moderate","Never",13,1.354414746,"Treats both the same"
"40","Some of the Time",1957,"Definitely voted","Mitt Romney","A little likely","Have not done this in past 4 years","Sticks to his or her principles",0,71,67,66,1,70,9,6,88,14,1,31,"5","Closer to conservatives","A little","None at all","None at all","A little","A little","Treats both the same","Treats whites a little better","Kept the same","Very worried","No Change","A great deal worse","About equally by human activity and natural causes","Neither favor nor oppose","Sometimes","Not asked","Oppose moderately","Muslim","Extremely important","Single","Full-time","Some college","Female","White","Republican","Lean Republican","Moderate","More than once a week",4,0.784189251,"Treats whites a little better"
"41","Most of the time",1953,"Definitely voted","Barack Obama","Moderately likely","Have not done this in past 4 years","Compromies to get things done",79,67,81,85,5,69,94,56,97,52,13,80,"3","Somewhat conservative","A moderate amount","A little","A lot","A little","A little","Treats blacks a little better","Treats whites a little better","Decreased a little","Moderately worried","Incrase moderately","The same as 20 years ago","Mostly by human activity","Favor moderately","Somewhat often","Never happened","Oppose a little","Not a Muslim","Very important","Married","Part-time","4-year","Male","White","Democrat","Weak Democrat","Conservative","Once a week",7,1.460503045,"Treats whites a little better"
"42","Some of the Time",1973,"Definitely voted","Barack Obama","Not at all likely","Have not done this in past 4 years","Compromies to get things done",81,100,100,100,100,0,94,84,100,100,100,100,"2","Very liberal","A moderate amount","A moderate amount","A moderate amount","A moderate amount","None at all","Treats both the same","Treats whites a little better","Increased a moderate amount","Moderately worried","Incrase moderately","The same as 20 years ago","Mostly by human activity","Favor a great deal","Somewhat often","Not asked","Favor moderately","Not a Muslim","Extremely important","Single","Permanently disabled","High school graduate","Female","White","Democrat","Strong Democrat","Very liberal","Never",4,0.573800071,"Treats whites a little better"
"43","Some of the Time",1944,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Compromies to get things done",5,60,55,55,40,65,10,10,80,32,20,65,"4","Closer to conservatives","A moderate amount","A moderate amount","A little","A moderate amount","A moderate amount","Treats blacks a little better","Treats both the same","Kept the same","Not asked","Increase a little","Moderately worse","Mostly by natural causes","Favor a little","Sometimes","Has happened","Not asked","Muslim","Extremely important","Married","Retired","High school graduate","Male","White","Indepent","Lean Republican","Conservative","Seldom",4,0.795895065,"Treats both the same"
"44","Most of the time",1956,"Definitely voted","Barack Obama","Extremely Likely","Have not done this in past 4 years","Compromies to get things done",95,62,99,31,1,1,99,90,100,96,100,95,"1","Neither liberal nor conservative","A lot","A lot","A lot","None at all","None at all","Treats both the same","Treats whites much better","Increased a lot","Extremely worried","Increase a great deal","A little better","About equally by human activity and natural causes","Favor a great deal","Never","Not asked","Not asked","Not a Muslim","Extremely important","Married","Full-time","High school graduate","Male","White","Democrat","Strong Democrat","Moderate","Once a week",4,0.86733029,"Treats whites much better"
"45","Most of the time",1949,"Definitely voted","Barack Obama","Very Likely","Have not done this in past 4 years","Compromies to get things done",80,95,99,99,80,5,100,100,70,100,80,90,"3","Closer to liberals","A lot","A lot","A little","A little","A moderate amount","Treats both the same","Treats whites much better","Kept the same","Not asked","Incrase moderately","Moderately worse","Mostly by human activity","Favor a little","Somewhat often","Has happened","Not asked","Not a Muslim","Very important","Married","Full-time","Post-grad","Male","White","Democrat","Weak Democrat","Liberal","A few times a year",10,1.916290729,"Treats whites much better"
"46","Most of the time",1962,"Definitely voted","Mitt Romney","Moderately likely","Have not done this in past 4 years","Compromies to get things done",0,19,10,71,3,13,0,1,50,7,0,49,"5","Closer to conservatives","A moderate amount","A moderate amount","A moderate amount","A little","A little","Treats Blacks much better","Treats both the same","Increased a little","Not asked","No Change","Moderately worse","About equally by human activity and natural causes","Favor a little","Somewhat often","Has happened","Not asked","Muslim","Extremely important","Married","Full-time","Post-grad","Male","White","Indepent","Weak Republican","Moderate","Seldom",16,1.463117683,"Treats both the same"
"47","Most of the time",1952,"Definitely voted","Barack Obama","Very Likely","Have not done this in past 4 years","Sticks to his or her principles",13,9,100,7,7,7,98,50,46,98,9,98,"4","Neither liberal nor conservative","A moderate amount","A moderate amount","A lot","A little","A little","Treats both the same","Treats whites a little better","Decreased a little","Very worried","No Change","Moderately worse","About equally by human activity and natural causes","Neither favor nor oppose","Somewhat often","Not asked","Oppose moderately","Muslim","Extremely important","Divorced","Full-time","High school graduate","Female","White","Democrat","Weak Democrat","Conservative","Seldom",2,1.288765813,"Treats whites a little better"
"48","Most of the time",1972,"Definitely voted","Mitt Romney","A little likely","Have not done this in past 4 years","Compromies to get things done",41,62,66,59,88,6,3,47,60,64,56,60,"3","Closer to conservatives","A lot","A moderate amount","A lot","A moderate amount","A little","Treats whites a little better","Treats whites a little better","Kept the same","Not asked","No Change","A little worse","Mostly by human activity","Oppose a little","Sometimes","Not asked","Oppose a little","Not a Muslim","Extremely important","Married","Full-time","High school graduate","Male","Hispanic","Democrat","Weak Democrat","Moderate","Seldom",11,0.23558519,"Treats whites a little better"
"49","Most of the time",1960,"Definitely voted","Barack Obama","A little likely","Have not done this in past 4 years","Compromies to get things done",100,97,94,100,97,1,83,100,52,99,99,98,"2","Somewhat liberal","A lot","A moderate amount","A lot","None at all","None at all","Treats whites much better","Treats whites much better","Increased a moderate amount","Moderately worried","Increase a great deal","A little worse","Mostly by human activity","Oppose moderately","Very often","Has happened","Favor moderately","Not a Muslim","Very important","Married","Part-time","Post-grad","Female","White","Democrat","Strong Democrat","Liberal","Never",8,1.096906671,"Treats whites much better"
"50","Most of the time",1978,"Definitely voted","Mitt Romney","Not at all likely","Have not done this in past 4 years","Sticks to his or her principles",0,59,75,54,50,46,1,10,70,6,0,10,"4","Very conservative","A little","A little","A little","A lot","A great deal","Treats Blacks much better","Treats whites a little better","Decreased a lot","Extremely worried","No Change","Moderately worse","Mostly by natural causes","Opposed a great deal","Rarely","Has happened","Oppose a great deal","Muslim","Extremely important","Single","Permanently disabled","High school graduate","Male","White","Indepent","Lean Republican","Very conservative","Never",97,0.263934577,"Treats whites a little better"
"51","Only now and then",1976,"Definitely voted","Barack Obama","Not at all likely","Have not done this in past 4 years","Compromies to get things done",62,52,72,39,83,12,98,16,53,82,31,63,"3","Very liberal","A little","A little","A moderate amount","A little","None at all","Treats both the same","Treats both the same","Kept the same","Moderately worried","No Change","A little worse","Mostly by human activity","Neither favor nor oppose","Rarely","Never happened","Not asked","Not a Muslim","Very important","Domestic Partnership","Full-time","4-year","Female","White","Democrat","Weak Democrat","Very liberal","Never",9,0.306891182,"Treats both the same"
